,IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
458734,3194628.0,0,1.0,'C',8,10,29,64,'B3','Diesel',461,'R53'
415322,3119132.0,0,0.93,'B',12,11,50,50,'B4','Diesel',85,'R23'
399623,3083657.0,0,1.0,'C',7,19,53,50,'B2','Regular',232,'R82'
451927,3179157.0,0,1.0,'C',7,12,52,50,'B2','Diesel',295,'R24'
652762,6050937.0,0,0.23,'C',5,5,37,54,'B5','Regular',154,'R93'
575725,4166903.0,0,0.62,'D',5,3,51,50,'B2','Diesel',512,'R11'
656345,6063240.0,0,0.005479452054794521,'D',5,5,38,83,'B2','Diesel',1326,'R93'
619046,5060224.0,0,0.41,'E',7,1,48,50,'B12','Diesel',3581,'R11'
323826,2256971.0,0,0.49,'C',6,12,47,50,'B2','Diesel',134,'R93'
380466,3042794.0,0,0.2,'E',8,1,30,57,'B12','Diesel',2859,'R11'
571018,4162196.0,0,1.0,'C',9,9,48,50,'B2','Regular',102,'R24'
673916,6110234.0,0,0.06,'E',10,0,58,50,'B12','Diesel',2663,'R11'
464272,3207174.0,0,0.61,'D',5,7,51,50,'B5','Diesel',1313,'R24'
46258,93591.0,0,1.0,'C',7,7,31,60,'B2','Regular',439,'R11'
220787,2050954.0,0,0.24,'C',6,7,59,50,'B2','Diesel',133,'R82'
49464,100252.0,0,0.73,'E',7,0,55,50,'B3','Diesel',9307,'R82'
179784,1179785.0,0,0.49,'E',6,9,51,76,'B1','Diesel',3301,'R73'
45618,92174.0,0,0.64,'A',7,24,50,76,'B2','Regular',34,'R24'
291900,2195195.0,0,0.98,'D',6,1,47,50,'B1','Diesel',893,'R82'
453086,3181766.0,0,0.73,'E',7,19,72,50,'B1','Regular',2252,'R82'
99904,1019359.0,0,1.0,'A',6,11,51,50,'B1','Diesel',23,'R24'
215699,2036763.0,0,0.04,'D',6,0,30,60,'B12','Diesel',665,'R82'
672746,6108530.0,0,0.74,'C',11,1,33,50,'B12','Diesel',120,'R11'
593342,4184520.0,0,0.27,'C',5,1,43,100,'B2','Diesel',229,'R53'
482757,3248677.0,0,0.08,'D',8,2,39,50,'B2','Diesel',824,'R91'
213589,2027339.0,0,0.44,'A',5,0,78,50,'B12','Regular',11,'R93'
486722,3252642.0,0,0.08,'E',9,16,35,50,'B3','Regular',3317,'R93'
136086,1097066.0,0,0.64,'A',6,6,27,57,'B2','Diesel',32,'R24'
557386,4148564.0,0,0.12,'D',6,15,54,51,'B6','Regular',675,'R91'
581041,4172219.0,0,1.0,'C',8,11,62,50,'B6','Diesel',276,'R82'
503627,4035453.0,0,0.33,'E',7,2,41,50,'B12','Diesel',4617,'R21'
522348,4084863.0,0,0.14,'C',4,4,58,50,'B12','Regular',113,'R83'
468620,3232972.0,0,0.24,'E',6,12,50,50,'B13','Regular',2983,'R31'
87788,1001463.0,1,0.9,'D',7,1,39,112,'B12','Diesel',1662,'R11'
664156,6091615.0,0,0.21,'E',7,7,60,50,'B12','Regular',3214,'R83'
175175,1170711.0,0,0.49,'A',6,10,27,100,'B1','Diesel',26,'R24'
526099,4117277.0,0,1.0,'C',5,9,47,50,'B1','Regular',186,'R24'
385361,3049912.0,0,0.49,'C',5,11,86,50,'B1','Regular',399,'R24'
557221,4148399.0,0,1.0,'A',6,9,40,50,'B1','Diesel',37,'R24'
371593,3030656.0,0,0.48,'C',4,0,44,50,'B12','Regular',197,'R11'
12306,30209.0,0,0.38,'C',10,2,39,50,'B12','Diesel',247,'R53'
162692,1142732.0,0,0.8,'E',4,10,47,50,'B6','Diesel',2415,'R82'
157587,1131760.0,0,1.0,'A',6,9,88,50,'B1','Regular',36,'R24'
604058,5017974.0,0,0.06,'E',4,4,38,60,'B12','Regular',3302,'R11'
189931,1189932.0,0,0.97,'E',9,3,55,50,'B12','Diesel',9307,'R82'
119402,1062277.0,0,1.0,'E',6,9,46,50,'B1','Regular',2658,'R82'
342189,2275335.0,0,0.87,'D',7,10,50,50,'B1','Regular',612,'R73'
480837,3246628.0,0,0.08,'E',5,3,52,50,'B12','Diesel',3673,'R25'
312111,2223927.0,0,0.08,'E',9,14,45,50,'B2','Regular',2906,'R72'
45010,90889.0,0,1.0,'D',4,10,18,63,'B2','Regular',1165,'R53'
613865,5046576.0,0,0.09,'A',5,10,35,72,'B2','Diesel',24,'R83'
557661,4148839.0,0,0.67,'C',10,3,60,81,'B3','Diesel',421,'R24'
481270,3247061.0,0,0.08,'B',7,12,67,50,'B2','Regular',72,'R93'
537163,4128341.0,0,1.0,'E',8,13,42,50,'B2','Regular',3688,'R82'
518518,4075820.0,0,0.57,'D',5,2,46,50,'B12','Diesel',720,'R11'
288692,2189557.0,0,1.0,'B',5,3,71,50,'B2','Regular',94,'R53'
492736,4009413.0,0,0.9,'B',6,8,26,76,'B12','Diesel',68,'R82'
27354,57704.0,0,0.15,'C',10,11,33,53,'B5','Regular',473,'R53'
253057,2107332.0,1,0.55,'C',7,0,37,50,'B3','Diesel',170,'R24'
659060,6075139.0,0,0.74,'B',4,4,57,50,'B12','Diesel',67,'R22'
68710,145744.0,0,0.42,'C',4,9,80,50,'B12','Regular',433,'R93'
251019,2103790.0,0,0.66,'D',6,4,49,50,'B2','Diesel',1871,'R82'
646328,6023820.0,1,0.46,'D',4,5,64,50,'B12','Regular',1629,'R93'
506535,4041878.0,0,0.1,'C',5,2,37,50,'B12','Diesel',199,'R93'
601209,5009423.0,0,0.03,'E',6,7,34,52,'B12','Diesel',3214,'R83'
365261,3018721.0,0,0.7,'C',10,2,41,50,'B12','Regular',159,'R91'
242233,2088088.0,0,0.04,'C',6,0,69,50,'B1','Regular',453,'R93'
340364,2273510.0,0,0.08,'C',6,5,40,50,'B13','Diesel',133,'R72'
455808,3187865.0,0,0.16,'C',6,13,46,54,'B1','Diesel',432,'R24'
529487,4120665.0,0,1.0,'D',4,7,58,50,'B1','Regular',1601,'R41'
580887,4172065.0,0,0.96,'C',7,13,76,50,'B2','Diesel',244,'R82'
73784,154897.0,0,0.52,'A',5,7,51,50,'B1','Regular',16,'R24'
159608,1136119.0,0,1.0,'E',7,7,46,54,'B1','Regular',2252,'R82'
363536,3014927.0,0,0.63,'E',9,3,54,50,'B12','Regular',3699,'R11'
485765,3251685.0,0,0.08,'E',7,10,42,50,'B1','Regular',2767,'R52'
221970,2053088.0,0,1.0,'E',6,12,36,51,'B1','Regular',3541,'R52'
76053,159011.0,0,1.0,'A',4,1,79,50,'B1','Regular',38,'R24'
29904,62278.0,0,1.0,'B',5,4,63,50,'B5','Diesel',82,'R82'
362357,3012393.0,0,0.8,'D',9,3,66,50,'B12','Regular',574,'R53'
182946,1182947.0,0,0.24,'F',6,12,46,64,'B3','Diesel',22821,'R11'
187694,1187695.0,0,0.5,'D',4,0,25,90,'B4','Diesel',1326,'R93'
50927,103414.0,0,0.19,'D',7,0,24,72,'B2','Regular',776,'R41'
56946,118948.0,0,0.21,'A',4,7,29,57,'B6','Regular',23,'R24'
33957,69474.0,0,1.0,'D',4,11,26,80,'B2','Regular',573,'R42'
65370,139578.0,1,1.0,'E',5,11,41,64,'B2','Regular',4939,'R11'
319318,2231145.0,0,0.08,'D',4,13,28,76,'B1','Regular',1541,'R91'
483507,3249427.0,0,0.08,'C',6,7,39,51,'B2','Diesel',154,'R93'
111662,1045075.0,0,1.0,'E',12,3,55,50,'B12','Diesel',9307,'R82'
169458,1157851.0,0,0.25,'B',6,9,35,57,'B2','Diesel',71,'R52'
613279,5045006.0,0,0.03,'B',8,2,47,50,'B1','Regular',76,'R11'
581136,4172314.0,0,0.24,'A',6,17,55,50,'B1','Diesel',14,'R54'
176722,1174247.0,0,0.82,'C',10,14,43,50,'B1','Regular',102,'R53'
360765,3008913.0,0,0.87,'E',7,3,56,50,'B12','Diesel',3317,'R93'
639974,5108376.0,0,0.08,'C',4,0,43,53,'B12','Regular',465,'R11'
381139,3043475.0,0,0.03,'D',7,0,71,50,'B12','Regular',570,'R93'
250288,2102290.0,0,1.0,'E',8,15,58,50,'B1','Diesel',2740,'R22'
622957,5068863.0,0,0.02,'C',7,1,52,50,'B12','Diesel',135,'R93'
107017,1034767.0,0,1.0,'C',4,10,33,64,'B3','Diesel',214,'R24'
326695,2259840.0,0,0.07,'C',5,8,21,90,'B1','Regular',269,'R91'
300724,2210759.0,0,0.43,'D',11,2,51,50,'B14','Diesel',796,'R25'
11401,28470.0,0,0.66,'C',6,11,55,80,'B1','Diesel',376,'R24'
149568,1119742.0,0,0.39,'D',6,0,30,64,'B1','Diesel',930,'R22'
390250,3061227.0,0,0.83,'E',7,19,34,51,'B1','Regular',3368,'R24'
642819,6009151.0,0,0.03,'C',8,10,56,50,'B12','Regular',433,'R11'
249500,2100971.0,0,0.39,'E',7,14,44,50,'B3','Regular',3688,'R82'
359519,3006193.0,0,0.38,'C',7,1,77,50,'B12','Regular',301,'R73'
439794,3163299.0,0,0.68,'D',10,6,33,60,'B10','Regular',609,'R93'
434086,3154555.0,0,0.88,'A',5,4,39,50,'B1','Diesel',27,'R24'
582086,4173264.0,0,1.0,'D',6,12,82,50,'B1','Regular',886,'R54'
468135,3232487.0,0,0.24,'B',7,6,50,50,'B2','Regular',84,'R53'
659087,6075328.0,0,0.29,'C',7,8,35,54,'B12','Diesel',185,'R31'
641831,6004754.0,0,0.45,'E',10,6,74,50,'B12','Diesel',7259,'R31'
124227,1073161.0,0,0.96,'B',4,9,76,50,'B4','Diesel',98,'R73'
281876,2177298.0,0,0.82,'A',6,6,41,50,'B2','Diesel',18,'R24'
575724,4166902.0,0,0.62,'C',7,5,30,60,'B10','Diesel',146,'R53'
290731,2193162.0,0,1.0,'C',5,5,43,50,'B3','Diesel',405,'R24'
449796,3175073.0,0,0.33,'C',6,2,30,68,'B1','Diesel',473,'R53'
633369,5094998.0,0,0.66,'A',7,9,23,106,'B2','Regular',38,'R82'
509521,4049148.0,0,0.06,'C',12,15,36,50,'B10','Diesel',156,'R72'
235857,2077046.0,0,1.0,'D',10,9,50,50,'B13','Regular',711,'R82'
619102,5060366.0,1,0.59,'B',7,10,23,80,'B1','Regular',66,'R93'
130440,1086039.0,0,0.18,'B',7,18,58,50,'B5','Diesel',56,'R54'
641121,6002081.0,0,0.2,'E',11,6,64,50,'B12','Diesel',6913,'R11'
211938,2023895.0,0,0.01,'E',10,0,42,50,'B12','Regular',3184,'R11'
3407,7156.0,1,0.14,'D',5,0,22,90,'B12','Regular',595,'R93'
113338,1048807.0,0,1.0,'C',6,3,77,50,'B3','Diesel',461,'R53'
493568,4011432.0,0,0.2,'D',11,3,45,50,'B12','Diesel',1629,'R93'
364401,3016799.0,0,0.53,'C',6,1,61,50,'B12','Diesel',104,'R72'
81267,168449.0,0,1.0,'E',7,4,50,50,'B1','Regular',2575,'R52'
490170,4003340.0,0,0.36,'A',6,7,50,50,'B5','Diesel',42,'R91'
16379,37747.0,0,0.89,'A',4,9,35,50,'B3','Diesel',14,'R24'
555934,4147112.0,0,0.46,'D',9,18,54,68,'B10','Diesel',1601,'R41'
98763,1016938.0,0,1.0,'C',4,9,84,50,'B1','Regular',335,'R24'
46193,93470.0,0,1.0,'D',7,7,44,50,'B2','Regular',1601,'R41'
383140,3045479.0,0,0.07,'C',7,3,60,50,'B12','Diesel',377,'R11'
558652,4149830.0,0,1.0,'D',5,4,38,85,'B2','Diesel',1408,'R52'
542345,4133523.0,0,1.0,'E',6,4,64,50,'B1','Diesel',8455,'R82'
624395,5072627.0,0,0.29,'D',7,3,46,50,'B12','Diesel',942,'R82'
656792,6065440.0,0,0.74,'D',7,3,53,50,'B12','Regular',1022,'R41'
25876,54980.0,0,1.0,'B',5,15,38,50,'B1','Regular',71,'R24'
172404,1164423.0,0,0.83,'E',7,5,60,85,'B1','Diesel',3859,'R82'
73854,155020.0,0,0.21,'C',7,10,45,50,'B2','Diesel',167,'R52'
293983,2198844.0,0,1.0,'C',4,14,34,57,'B2','Regular',283,'R25'
257561,2115560.0,0,0.48,'D',8,6,37,100,'B2','Diesel',1191,'R11'
581924,4173102.0,0,0.07,'C',4,14,75,50,'B1','Regular',234,'R91'
413529,3115235.0,0,0.98,'B',8,15,27,80,'B1','Diesel',79,'R24'
357611,3002121.0,0,0.2,'A',6,3,63,50,'B12','Regular',22,'R54'
638483,5105693.0,0,0.21,'D',5,1,51,50,'B12','Regular',570,'R93'
616222,5052865.0,0,0.3,'E',7,1,43,50,'B12','Diesel',3688,'R82'
352418,2285566.0,0,0.58,'D',6,15,36,68,'B4','Regular',824,'R91'
73221,153902.0,0,0.19,'D',8,7,47,54,'B1','Diesel',1054,'R24'
45270,91413.0,0,0.64,'B',4,15,62,50,'B1','Regular',84,'R82'
638899,5106419.0,0,0.09,'C',11,0,49,50,'B12','Diesel',222,'R93'
508882,4047305.0,0,0.05,'D',7,0,53,50,'B12','Diesel',602,'R82'
428739,3145367.0,0,0.005479452054794521,'C',7,4,29,80,'B4','Regular',153,'R54'
608688,5031577.0,0,0.4,'A',6,3,39,50,'B12','Diesel',20,'R83'
21518,47069.0,0,0.97,'B',4,14,30,60,'B14','Regular',57,'R24'
596519,4187697.0,0,1.0,'C',5,7,32,60,'B6','Diesel',270,'R24'
381840,3044179.0,0,0.2,'E',4,0,30,112,'B12','Regular',7571,'R11'
417846,3124692.0,0,0.01,'E',5,3,48,68,'B2','Diesel',5449,'R82'
351991,2285139.0,0,0.08,'D',7,0,34,57,'B4','Diesel',1232,'R93'
651394,6046175.0,0,0.07,'F',11,2,59,50,'B12','Regular',16533,'R11'
451071,3177248.0,0,0.67,'C',9,17,57,50,'B1','Regular',307,'R24'
654211,6055945.0,0,0.43,'D',4,2,38,60,'B12','Diesel',1289,'R31'
84225,173662.0,0,1.0,'A',9,19,53,50,'B3','Regular',9,'R93'
288539,2189282.0,0,1.0,'D',5,3,66,50,'B5','Regular',1182,'R82'
260374,2120770.0,0,1.0,'D',7,1,41,50,'B1','Diesel',1165,'R53'
517647,4073921.0,0,0.21,'F',12,2,60,69,'B12','Diesel',27000,'R11'
106347,1033267.0,0,0.54,'C',6,13,29,68,'B1','Diesel',110,'R72'
300642,2210617.0,0,1.0,'C',7,1,32,60,'B3','Regular',287,'R53'
218238,2046257.0,0,1.0,'B',6,7,57,50,'B3','Regular',64,'R24'
563173,4154351.0,0,0.18,'A',5,10,49,50,'B4','Regular',23,'R25'
558785,4149963.0,0,0.21,'C',7,10,28,60,'B11','Diesel',217,'R53'
536278,4127456.0,0,0.83,'C',8,6,39,50,'B6','Diesel',436,'R53'
24056,51719.0,0,0.37,'A',7,12,47,85,'B2','Diesel',49,'R24'
598652,5001907.0,0,0.2,'E',4,5,59,50,'B12','Regular',4998,'R11'
370169,3028740.0,0,0.4,'A',4,0,47,51,'B12','Diesel',24,'R72'
602714,5014004.0,0,0.02,'D',10,10,36,50,'B12','Regular',886,'R54'
121392,1066914.0,0,1.0,'D',6,2,65,50,'B6','Diesel',625,'R91'
671303,6105287.0,0,0.74,'C',4,1,61,50,'B12','Regular',250,'R22'
166394,1150859.0,1,0.74,'A',6,10,53,90,'B6','Diesel',18,'R52'
672767,6108570.0,0,0.0027397260273972603,'D',8,1,44,50,'B12','Diesel',1842,'R11'
658533,6072503.0,0,0.7,'A',5,4,59,50,'B12','Regular',29,'R94'
530531,4121709.0,0,0.85,'E',6,17,36,68,'B5','Regular',6127,'R11'
668199,6099458.0,0,0.24,'B',8,4,40,50,'B12','Regular',70,'R52'
323939,2257084.0,0,0.08,'D',7,11,28,85,'B11','Diesel',1294,'R72'
672605,6108259.0,0,0.73,'C',4,1,51,50,'B12','Regular',374,'R93'
417122,3123214.0,0,0.4,'E',6,4,31,50,'B1','Diesel',2105,'R82'
533905,4125083.0,0,0.42,'E',6,10,28,64,'B1','Diesel',3374,'R42'
380004,3042204.0,0,0.06,'A',11,0,45,50,'B12','Diesel',12,'R83'
145944,1114636.0,0,1.0,'C',9,1,44,50,'B12','Regular',413,'R72'
367273,3023203.0,0,0.12,'A',5,5,35,90,'B3','Regular',43,'R31'
509996,4050561.0,0,0.73,'F',8,0,65,50,'B12','Regular',27000,'R11'
158088,1132853.0,0,0.21,'D',5,13,39,50,'B2','Regular',886,'R54'
235464,2076379.0,0,1.0,'C',7,1,57,50,'B3','Diesel',216,'R82'
629279,5086640.0,0,0.63,'A',4,4,26,72,'B12','Regular',16,'R94'
139850,1104066.0,0,0.07,'D',6,6,23,90,'B1','Diesel',1313,'R24'
11173,28080.0,0,0.19,'E',5,7,23,80,'B1','Regular',3465,'R11'
46911,94744.0,0,0.07,'B',5,2,33,51,'B1','Regular',86,'R82'
553853,4145031.0,0,0.52,'D',5,18,31,90,'B3','Diesel',1704,'R82'
319834,2231671.0,0,0.37,'C',7,0,48,50,'B1','Regular',302,'R82'
650893,6044324.0,0,0.21,'C',8,2,44,50,'B12','Diesel',200,'R73'
353819,2286968.0,0,0.72,'B',6,2,49,50,'B2','Diesel',92,'R72'
601714,5010934.0,0,0.8,'E',11,4,67,50,'B12','Diesel',3831,'R11'
573894,4165072.0,0,0.4,'C',5,0,40,50,'B1','Regular',434,'R24'
517357,4073275.0,0,0.1,'E',7,0,30,57,'B12','Diesel',6729,'R11'
166983,1152203.0,0,0.45,'C',7,0,52,60,'B2','Regular',347,'R53'
383530,3045900.0,0,0.29,'C',5,3,70,50,'B2','Regular',222,'R24'
337918,2271064.0,0,0.5,'D',6,19,61,50,'B1','Regular',533,'R93'
421399,3131897.0,0,1.0,'C',11,2,63,50,'B1','Diesel',283,'R25'
197430,1197431.0,0,0.48,'E',7,0,52,50,'B11','Regular',3317,'R93'
159899,1136733.0,0,0.96,'A',6,6,49,50,'B1','Diesel',23,'R24'
185310,1185311.0,0,0.56,'D',5,4,30,65,'B5','Regular',776,'R93'
627089,5080091.0,0,0.44,'D',7,3,26,90,'B12','Regular',824,'R91'
4094,8836.0,1,0.25,'E',4,10,24,100,'B1','Diesel',2907,'R11'
411794,3111366.0,0,0.51,'C',5,8,34,67,'B3','Diesel',218,'R82'
375228,3034324.0,0,0.01,'C',4,1,37,50,'B12','Diesel',346,'R23'
80509,167099.0,0,1.0,'C',4,17,61,50,'B1','Regular',229,'R53'
243404,2090106.0,0,0.2,'D',9,14,46,50,'B5','Regular',1847,'R82'
197194,1197195.0,1,0.36,'C',5,6,29,85,'B3','Diesel',105,'R82'
84928,174938.0,0,1.0,'D',6,2,50,50,'B2','Regular',1385,'R53'
184737,1184738.0,0,0.5,'C',6,3,38,109,'B2','Diesel',269,'R91'
669420,6101736.0,0,0.16,'E',8,1,29,68,'B12','Diesel',3193,'R11'
389607,3059860.0,0,1.0,'C',5,14,46,50,'B2','Diesel',115,'R11'
44885,90597.0,0,0.37,'C',6,15,24,80,'B1','Regular',238,'R54'
93392,1011368.0,0,0.07,'C',6,6,47,50,'B12','Regular',392,'R72'
24902,53210.0,0,0.75,'C',10,11,50,50,'B10','Regular',399,'R24'
643366,6011309.0,0,0.2,'A',6,5,57,50,'B2','Diesel',23,'R73'
32039,66055.0,0,0.24,'B',6,7,63,50,'B2','Regular',64,'R91'
677905,6114223.0,0,0.03,'E',10,1,65,50,'B12','Regular',3430,'R93'
176679,1174160.0,0,1.0,'D',5,2,35,64,'B2','Regular',1284,'R25'
456590,3189674.0,0,1.0,'C',4,11,48,50,'B1','Regular',282,'R24'
243996,2091103.0,1,1.0,'B',5,3,45,50,'B2','Diesel',80,'R72'
578130,4169308.0,0,0.34,'D',5,15,53,90,'B2','Diesel',1054,'R24'
30617,63560.0,0,1.0,'E',6,12,80,50,'B2','Regular',3317,'R93'
562825,4154003.0,0,0.7,'D',8,4,55,50,'B13','Diesel',1232,'R93'
80053,166283.0,0,1.0,'B',4,14,23,72,'B2','Regular',94,'R72'
641884,6004941.0,0,0.21,'F',11,1,61,50,'B12','Diesel',27000,'R11'
22495,48802.0,0,0.86,'C',6,13,36,51,'B1','Diesel',347,'R53'
249358,2100724.0,0,1.0,'C',6,6,53,50,'B4','Regular',378,'R82'
382019,3044358.0,0,0.06,'A',6,0,24,100,'B12','Regular',10,'R24'
623524,5069980.0,0,0.53,'C',6,8,60,50,'B12','Diesel',153,'R83'
485825,3251745.0,0,0.08,'D',6,17,33,50,'B1','Diesel',1027,'R24'
45392,91702.0,0,0.11,'C',8,5,57,82,'B14','Diesel',103,'R82'
198398,1198399.0,0,0.38,'D',7,11,29,90,'B6','Diesel',677,'R31'
333613,2266759.0,0,0.58,'C',6,0,42,50,'B10','Regular',182,'R82'
154782,1125856.0,0,1.0,'B',6,9,35,50,'B6','Diesel',67,'R24'
190552,1190553.0,0,0.49,'E',6,11,43,50,'B1','Diesel',5460,'R11'
347170,2280317.0,0,0.08,'C',7,27,34,50,'B1','Regular',165,'R23'
408057,3103031.0,0,0.21,'C',5,13,21,100,'B3','Regular',399,'R24'
154615,1125507.0,0,0.75,'F',6,10,46,50,'B2','Regular',10156,'R11'
369745,3027949.0,0,0.36,'D',6,1,45,50,'B12','Diesel',876,'R31'
42584,85902.0,0,1.0,'B',6,12,40,50,'B2','Regular',94,'R53'
236235,2077660.0,0,1.0,'E',5,3,94,50,'B2','Regular',3963,'R91'
408703,3104405.0,0,0.91,'C',5,10,40,50,'B3','Diesel',142,'R52'
400315,3085273.0,0,1.0,'C',7,19,45,50,'B1','Regular',129,'R82'
168805,1156381.0,0,0.87,'E',7,13,27,68,'B4','Regular',3963,'R91'
600325,5006975.0,0,0.12,'C',9,6,47,50,'B12','Regular',161,'R72'
381683,3044022.0,0,0.15,'E',7,1,64,50,'B12','Diesel',6617,'R11'
503395,4034871.0,0,0.4,'A',12,10,37,50,'B12','Diesel',44,'R23'
217605,2041297.0,0,0.12,'E',7,0,56,55,'B12','Diesel',6729,'R11'
289750,2191416.0,0,1.0,'D',6,2,53,50,'B2','Diesel',568,'R24'
243686,2090589.0,0,0.6,'C',4,3,40,50,'B2','Regular',109,'R91'
286545,2185744.0,0,0.43,'D',5,8,37,50,'B1','Regular',1313,'R24'
659878,6079441.0,0,0.12,'E',4,6,52,64,'B12','Regular',2252,'R82'
144750,1112638.0,0,0.08,'E',4,0,58,50,'B14','Regular',3744,'R93'
161271,1139654.0,0,0.41,'A',5,9,40,50,'B3','Regular',7,'R24'
493680,4011715.0,0,0.00273224043715847,'D',4,3,36,76,'B12','Regular',1629,'R93'
189104,1189105.0,0,0.49,'E',6,9,34,64,'B1','Regular',3317,'R93'
264037,2127772.0,1,0.3,'E',6,5,52,50,'B4','Regular',4253,'R72'
487724,3253745.0,0,0.1,'E',11,13,65,50,'B10','Diesel',5723,'R82'
464302,3207254.0,0,0.24,'B',5,7,60,51,'B4','Diesel',90,'R82'
216674,2039015.0,0,0.04,'E',8,0,36,64,'B12','Diesel',4128,'R52'
119191,1061821.0,0,1.0,'C',10,3,33,80,'B5','Regular',121,'R31'
540742,4131920.0,0,1.0,'B',4,7,55,50,'B2','Regular',85,'R31'
362587,3012882.0,0,0.28,'C',12,10,30,72,'B12','Regular',127,'R31'
128251,1081651.0,1,0.15,'A',6,12,20,100,'B3','Regular',13,'R24'
642014,6005414.0,0,0.21,'A',7,6,55,50,'B12','Regular',21,'R74'
640400,5109456.0,0,0.03,'E',4,0,70,50,'B12','Regular',4253,'R72'
520073,4079373.0,0,0.87,'C',5,4,29,80,'B1','Diesel',136,'R31'
349793,2282941.0,0,0.08,'E',7,7,39,50,'B2','Diesel',7259,'R31'
23274,50217.0,0,0.62,'E',7,3,19,95,'B4','Regular',2163,'R52'
154913,1126125.0,0,1.0,'A',4,14,81,50,'B1','Regular',30,'R24'
441791,3165924.0,0,0.21,'D',7,15,20,100,'B6','Diesel',1054,'R24'
280507,2168692.0,0,0.05,'B',7,0,53,50,'B2','Diesel',81,'R24'
347273,2280420.0,0,0.08,'C',6,8,40,72,'B4','Regular',433,'R93'
99010,1017462.0,0,1.0,'C',9,3,54,50,'B2','Regular',282,'R24'
270407,2140903.0,0,1.0,'C',7,19,34,72,'B2','Regular',109,'R24'
523342,4114520.0,0,1.0,'A',5,20,80,50,'B2','Regular',10,'R24'
151181,1121908.0,0,0.23,'D',5,15,42,50,'B3','Diesel',1466,'R31'
600322,5006967.0,0,0.78,'C',5,1,47,50,'B12','Regular',161,'R72'
670526,6103788.0,0,0.06,'E',8,1,65,50,'B12','Diesel',2906,'R72'
426224,3141031.0,0,0.08,'A',5,13,42,50,'B3','Diesel',26,'R24'
28822,60364.0,0,1.0,'C',4,4,50,50,'B11','Diesel',165,'R72'
279811,2165934.0,1,0.04,'D',5,13,20,100,'B5','Diesel',1054,'R24'
449808,3175085.0,0,0.28,'C',4,0,53,50,'B1','Diesel',342,'R53'
170697,1160615.0,0,0.32,'D',4,7,38,50,'B2','Regular',1210,'R82'
117512,1058014.0,0,0.58,'A',6,13,55,50,'B13','Regular',14,'R24'
151571,1122298.0,0,0.11,'E',4,10,36,50,'B2','Diesel',4253,'R72'
346324,2279471.0,0,0.08,'E',5,9,30,80,'B2','Regular',4024,'R31'
617039,5055007.0,0,0.6,'E',5,1,25,106,'B12','Regular',2951,'R41'
205081,2011256.0,0,0.12,'E',6,1,34,50,'B12','Regular',6689,'R11'
23119,49943.0,0,1.0,'E',4,6,71,50,'B6','Regular',4128,'R52'
427632,3143560.0,0,0.27,'C',10,6,48,50,'B3','Diesel',405,'R24'
616554,5053754.0,0,0.02,'D',4,1,53,50,'B12','Regular',1541,'R91'
60656,130742.0,0,1.0,'E',5,9,34,51,'B5','Diesel',4470,'R11'
134213,1093265.0,0,1.0,'C',5,2,70,50,'B5','Regular',120,'R91'
116899,1056568.0,0,0.12,'B',7,15,35,80,'B2','Diesel',61,'R24'
463523,3205409.0,0,1.0,'A',4,15,54,50,'B2','Regular',26,'R24'
559500,4150678.0,0,1.0,'C',12,1,58,50,'B11','Diesel',161,'R82'
387698,3055281.0,0,0.58,'B',7,8,46,55,'B1','Diesel',65,'R53'
264510,2128709.0,0,0.05,'C',7,0,39,50,'B1','Diesel',287,'R53'
413329,3114917.0,0,0.02,'E',7,5,30,90,'B2','Diesel',2074,'R82'
15722,36555.0,0,1.0,'A',6,8,64,50,'B1','Diesel',44,'R24'
571716,4162894.0,0,0.08,'A',7,10,39,55,'B1','Diesel',30,'R24'
423961,3136799.0,0,1.0,'A',5,12,47,50,'B1','Regular',44,'R24'
51400,104359.0,0,1.0,'D',10,15,41,50,'B12','Regular',1466,'R31'
232975,2072050.0,0,1.0,'C',6,3,48,50,'B1','Diesel',164,'R24'
285819,2184435.0,0,1.0,'C',7,13,66,50,'B2','Regular',120,'R24'
548835,4140013.0,0,1.0,'A',4,2,69,50,'B1','Regular',18,'R54'
296834,2204151.0,0,1.0,'C',9,9,43,50,'B12','Regular',102,'R24'
115012,1052442.0,0,0.78,'A',11,0,62,50,'B11','Diesel',23,'R24'
529217,4120395.0,0,1.0,'C',7,5,44,50,'B10','Diesel',126,'R52'
5013,11395.0,1,0.01,'C',5,0,62,50,'B12','Regular',164,'R93'
368014,3024643.0,0,0.8,'A',8,1,59,50,'B12','Diesel',5,'R73'
546237,4137415.0,0,0.19,'B',5,2,60,50,'B2','Diesel',93,'R25'
306008,2217818.0,0,0.08,'E',9,9,31,50,'B6','Regular',3214,'R83'
28856,60433.0,0,1.0,'A',6,12,65,50,'B2','Diesel',25,'R72'
539594,4130772.0,0,0.29,'D',5,8,49,76,'B6','Regular',1871,'R82'
218396,2046542.0,0,1.0,'B',5,3,50,50,'B2','Diesel',80,'R24'
653645,6053994.0,0,0.35,'D',4,2,43,50,'B12','Diesel',528,'R31'
130293,1085786.0,0,0.0027397260273972603,'B',6,2,51,50,'B1','Diesel',94,'R53'
198592,1198593.0,0,1.22,'E',9,11,49,50,'B3','Regular',3301,'R73'
